Title,Price,Rating,Address,Img_URL,Description,Rank_of_province,Link_Food,
Twilight Sky Bar & Cloud Nine Restaurant,-1,5,"180-188 Ly Tu Trong, Thành phố Hồ Chí Minh 700000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/29/66/36/cc/overview-twilight-cloud.jpg,"Đồ uống ngon, city view đẹp và phục vụ nhiệt tình từ Trúc Bùi. Nhờ có bạn mà trải nghiệm trên skybar thật thyệt vời. Mình sẽ quay lại",#8 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d15046046-Reviews-Twilight_Sky_Bar_Cloud_Nine_Restaurant-Ho_Chi_Minh_City.html,
Banana Mama Rooftop & Kitchen,-1,5,"102 Cống Quỳnh Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-p/29/8f/33/6b/sunset-at-banana-mama.jpg,"Nhân viên vui vẻ , đồ uống ngonnn , view buổi chiều tuyệt đẹp nhá , mọi người có rảnh ghé đến quán thử nhé",#10 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d17662928-Reviews-Banana_Mama_Rooftop_Kitchen-Ho_Chi_Minh_City.html,
Moira Bar & Eatery,-1,5,"204b/14 Nguyễn Văn Hưởng Thảo Điền, Quận 2, Thành phố Hồ Chí Minh 700000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/29/eb/44/e2/our-table.jpg,"Moira. Nên ghé qua khi ghé qua Thảo Điền Không gian quán thoáng mát, nhạc thì chill chill dễ nghe, khá hợp cho mấy bạn thích yên tĩnh, hôm đó đi 1 mình khá là thoải mái. Này mà đi hẹn hò là tuyệt vời...Thêm",#452 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d26249851-Reviews-Moira_Bar_Eatery-Ho_Chi_Minh_City.html,
Quán Poke Saigon - ĐÓNG CỬA,-1,5,"42/25 Nguyễn Huệ Tầng 2, Thành phố Hồ Chí Minh Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/0e/63/2b/de/ahi-tuna-poke-and-fresh.jpg,"Mình và một người bạn có ghé quán ăn trưa. Món ăn ngon, tuyệt vời. Nhân việt phục vụ nhiệt tình lắm. Có nhiều options cho mọi người lựa chọn (salad, cơm sushi, cơm gạo lức). Rất đáng thử nhé mọi người",,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d12130500-Reviews-Poke_Saigon-Ho_Chi_Minh_City.html,
Buffet NINETEEN,-1,4.5,"Ground Floor - 19 Lam Son Square, Dis 1 Caravelle Saigon, Thành phố Hồ Chí Minh 848 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/27/59/40/33/nineteen-restaurant-buffet.jpg,"Phuc vu rất tốt, thức ăn dạo này ngon , hai sản tươi , chung tôi sẽ quay lại vào tuần tới , chung toi se gia hạn thẻ thành viên tiếpThêm",#11 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d3400060-Reviews-Buffet_NINETEEN-Ho_Chi_Minh_City.html,
HOME Hanoi - HOME Vietnamese Restaurant,-1,5,"75 P. Nguyễn Đình Chiểu, Lê Đại Hành, 31 Van Ho 2, Hà Nội 10000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/28/11/f0/30/home-hanoi-restaurant.jpg,"Hôm nay tôi đã có một bữa ăn vô cùng tuyệt vời ở nhà hàng Home Mộc. Món ăn đều rất ngon, mọi thứ đều tốt. Cảm ơn Huyền diệp",#54 trên 2.566 nhà hàng ở Hà Nội,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d8152644-Reviews-HOME_Hanoi_HOME_Vietnamese_Restaurant-Hanoi.html,
Lưu Bar,-1,5,"108 Phạm Viết Chánh Bình Thạnh, Thành phố Hồ Chí Minh 700000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/1d/1b/d5/b2/lu-u-bar-saigon-108-pham.jpg,"Nhân viên quá là dễ thương luôn. Rượu ngon, nhạc hay. Không có gì để chê hết, mọi người ghé quán chơi nhé.",#12 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d19259771-Reviews-Luu_Bar-Ho_Chi_Minh_City.html,
Làng Rau Sạch Củ Chi,-1,5,"107 Tran Van Cham ,Phuoc Vinh An ,Cu Chi, Thành phố Hồ Chí Minh 84 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/15/98/9a/54/great-varieties-of-food.jpg,Cảm ơn bạn đã chia sẻ cách trồng và sử dụng cây của bạn! Tôi đã học được một cái gì đó mới và nấm rất ngon!,#13 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d4891113-Reviews-HCM_Villages_Restaurant-Ho_Chi_Minh_City.html,
The Monkey Gallery DINING,-1,4.5,"91 Mạc Thị Bưởi Lầu 3, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/28/2c/ce/99/season-of-the-heart.jpg,"Mình đã rất ấn tượng với những món ăn và đồ uống mình order tại nhà hàng, đồ ăn ngon rất hợp khẩu vị với mình, đồ uống mang màu sắc riêng, không gian quán tạo cho mình cảm giác thoải mái, mình đã ngồi...Thêm",#260 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d18927790-Reviews-The_Monkey_Gallery_DINING-Ho_Chi_Minh_City.html,
Nhà hàng Vua Cua,-1,5,"30 Vũ Huy Tấn Phường 3, Thành phố Hồ Chí Minh 700000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/10/f3/ed/24/khong-gian-quan.jpg,"Uki ngon tuỵt đẹp, khi bồ dỗi thì dẫn đi ăn vua cua thì hết dỗi ngay , nhân viên phục vụ xinh xắn , ai cũng đúng gu mình",#21 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d10758063-Reviews-King_Of_Crab-Ho_Chi_Minh_City.html,
Home Saigon Restaurant,-1,5,"185/28 Phạm Ngũ Lão Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-p/1a/4a/9b/ed/logo-of-home-saigon-restaurant.jpg,"Khách vãng lai ghé ăn vào lúc giờ cao điểm.Phục vụ chạy bàn tới tấp.Thức ăn đa dạng ngon thực sự hấp dẫn.Không khí ấm cúng. Một nơi đáng để đến. Đánh giá 5 sao, phục vụ tốt Bill",#14 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d19682185-Reviews-Home_Saigon_Restaurant-Ho_Chi_Minh_City.html,
Le Corto,-1,5,"5D Nguyen Sieu Street, Thành phố Hồ Chí Minh = Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/14/e8/30/1e/truffle-soup-vge-from.jpg,"Phụ vụ thân thiện nhiệt tình dễ thương Nhân Phu đồ ăn cũng ngon, lần đầu tiên đến với nhà hàng. Thank you",#15 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d9705561-Reviews-Le_Corto-Ho_Chi_Minh_City.html,
Kebaby,-1,5,"112 Pham Viet Chanh, Phuong 19, Binh Thanh, Thành phố Hồ Chí Minh 00000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/1b/a4/9d/1b/kebaby-doner.jpg,Mình tìm được quán kebab ngon nhức nách. Mình order phần dirty doner khá là bự. Thịt ướp rất thấm vị và nước sốt đỉnh của chóp. Mình đi theo 1 nhóm bạn và rất ưng ý với menu ở đây. Chất lượng phục vụ...Thêm,#16 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d21167878-Reviews-Kebaby-Ho_Chi_Minh_City.html,
The Indian House (Kitchen and Bar),-1,5,"2nd Floor, 42 Nguyen Hue District 1, Thành phố Hồ Chí Minh 700000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/26/d5/55/84/the-indian-house-2nd.jpg,"Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi, Đêm muộn, Đồ uống",#17 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d25132683-Reviews-The_Indian_House_Kitchen_and_Bar-Ho_Chi_Minh_City.html,
BROS BBQ,-1,4,"47 Nguyễn Thị Diệu, Phường 6, Quận 3, Thành phố Hồ Chí Minh 700902 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/1c/32/f8/ff/bros-bbq.jpg,"Đồ ăn ngon, Như Bình phục vụ tốt, chu đáo. Không gian chill, đèn nhạc trang trí đẹp. Các món bò ngon và được nướng đúng",#678 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d21338165-Reviews-BROS_BBQ-Ho_Chi_Minh_City.html,
Signature Restaurant,-1,5,"Sheraton Saigon Hotel 88 Dong Khoi Street, District 1, Thành phố Hồ Chí Minh 700000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/19/42/ea/e6/level-23-signature-restaurant.jpg,"Thức ăn ngon và nhân viên phúc vụ nhiệt tình, chu đáo. Không gian nhà hàng tạo cảm giác ấm cúng và thoải mái.Thêm",#18 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d1382250-Reviews-Signature_Restaurant-Ho_Chi_Minh_City.html,
B3 Steakhouse & Craft Beer,-1,4.5,"14 Nguyễn Huệ, Bến Nghé, Quận 1 Level 1, Thành phố Hồ Chí Minh Việt Nam",https://media-cdn.tripadvisor.com/media/photo-p/25/0a/f0/00/outdoor.jpg,"Lâu chỉ ăn món Việt, làm một tour đổi gió, lần này là steak :D Đồ ngon, thị mềm nhưng ngon và nguyên vị nên rất ngon. Ăn là cảm nhận được thịt được lựa tốt. Cách chế biến cũng ngon, dễ ăn. Một bữa...Thêm",#19 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d10317597-Reviews-B3_Steakhouse_Craft_Beer-Ho_Chi_Minh_City.html,
Hum - Healthy Veggies Delights,-1,4.5,"32 - 34 Võ Văn Tần Phường 6, Quận 3, Thành phố Hồ Chí Minh 70000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/23/8f/bc/21/hum-cafe.jpg,"Mình có ấn tượng rất tốt với Hum Thảo Điền nên hôm nay quyết định trải nghiệm Hum Võ Văn Tần để có cái nhìn khách quan hơn. Thì, theo cá nhân mình, không gian ở Võ Văn Tần là một trải nghiệm rất khác...Thêm",#22 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d3682545-Reviews-Hum_Healthy_Veggies_Delights-Ho_Chi_Minh_City.html,
Baba's Kitchen,-1,4.5,"274 Bùi Viện Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/17/b8/dd/c1/baba-s-kitchen.jpg,"Đồ ăn ngon, mùi vị đặc trưng ấn độ, nhiều món để lựa chọn. Phục vụ nhiêtn tình chu đáo. Mọi người ghé thăm để thưởng thức",#20 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d2254119-Reviews-Baba_s_Kitchen-Ho_Chi_Minh_City.html,
The Posh Duck Kitchen,-1,5,"Lô 9 Đường số 7 Quận 7, Tân Thuận Đông, Thành phố Hồ Chí Minh 700000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-p/1c/40/a7/6c/reserve-your-table-this.jpg,"Một không gian hoàn toàn khác biệt, đáng để thử và đổi gió. Menu rất đa dạng và phong phú. Mình có dùng thử set lunch, giá rất hợp lý, ăn siêu no luôn. Đồ ăn tươi và ngon lắm, rất đáng đông tiền. Không...Thêm",#23 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d12969004-Reviews-The_Posh_Duck_Kitchen-Ho_Chi_Minh_City.html,
Bếp Mẹ ỉn,-1,4.5,"136/9 Đường Lê Thánh Tôn Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/29/db/99/dc/come-in-and-join-us-or.jpg,Hồi hôm bữa mình muốn ăn món Việt nên ghé vào hẻm để thưởng thức. Vì Nam Giao hết chỗ nên mình đã có trải nghiệm thử dịch vụ của Mẹ Ỉn. Nói chung là đồ ăn không được ngon lắm so với giá tiền....Thêm,#41 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d10721705-Reviews-B_p_M_n-Ho_Chi_Minh_City.html,
Nhà hàng Ấn Độ Natraj,-1,4.5,"41 Bùi Thị Xuân, P. Bến Thành, Q.1 District 1, Thành phố Hồ Chí Minh 700000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/12/22/a2/6d/natraj-welcomes-you-to.jpg,"Gia đình đã ăn và ghé lại do thức ăn ngon và dễ lựa chọn. Nhất là món cà ri cừu ăn với bánh nan bơ tỏi, món rau củ cũng ngon và dễ ăn. Phù hợp với người Việt nam ănThêm",#24 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d10060971-Reviews-Natraj_Indian_Cuisine_Restaurant-Ho_Chi_Minh_City.html,
Sushi Sun,-1,4.5,"46 Nguyễn Cư Trinh Quận 1, Thành phố Hồ Chí Minh 70000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-p/1a/f3/5b/8c/photo0jpg.jpg,"Nhân viên nhiệt tình, quán đẹp ấm cúng, đồ ăn ngon nhé. Nhân viên nhiệt tình thân thiện, dễ thương !!",#25 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d7793689-Reviews-Sushi_Sun-Ho_Chi_Minh_City.html,
B3 Wine Bar & Grill,-1,5,"94 Xuân Thủy, Thảo Điền, Thành phố Hồ Chí Minh Việt Nam",https://media-cdn.tripadvisor.com/media/photo-o/22/e3/f9/5e/logo.jpg,"Đồ ăn làm rất ngon, steak ngon và vị đượm. Rượu nhập khầu cũng miễn chê. Không gian lãng mạn, sang trọng. Nhân viên tại đây rất thân thiện và nhiệt tình, giúp bạn có một trải nghiệm tuyệt vời.",#27 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d23956041-Reviews-B3_Wine_Bar_Grill-Ho_Chi_Minh_City.html,
Nhà Hàng Noir.,-1,5,"178-180D Hai Bà Trưng Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-p/1b/54/43/34/photo0jpg.jpg,Không gian quán bên ngoài khá tĩnh lặng. Phòng chờ đc trang trí rất ấm áp. Các bạn phục vụ rất nhanh nhẹn nhiệt tình. Bọn mình chon set menu west tổng cộng 11 món. Mỗi món là một chút đồ ăn nên bạn sẽ...Thêm,#26 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d7157553-Reviews-Noir_Dining_In_The_Dark-Ho_Chi_Minh_City.html,
Moo Beef Steak - Prime,-1,5,"35-37 Ngô Đức Kế Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/19/66/b7/3f/beef-rossini.jpg,"Phù hợp gia đình và cặp đôi, không gian lãng mạn ấm cúng, ăn nhiều lần nhân viên thân thiện lịvh sự",#28 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d12699961-Reviews-Moo_Beef_Steak_Prime-Ho_Chi_Minh_City.html,
Elgin,-1,5,"27 Mạc Đĩnh Chi, Đakao Quận 1, Thành phố Hồ Chí Minh Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/26/2c/31/44/kitchen-bar.jpg,"Đặt chỗ, Chỗ ngồi, Có bãi đỗ xe, Bãi đỗ xe tập trung miễn phí, Phục vụ đồ uống có cồn, Rượu và bia, Chấp nhận thẻ American Express, Chấp nhận thẻ Mastercard, Chấp nhận thẻ Visa, Thanh toán điện tử, Wifi miễn phí, Chấp nhận thẻ Discover, Chấp nhận thẻ tín dụng, Dịch vụ bàn, Nhà hàng không hút thuốc",#499 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d24190498-Reviews-Elgin-Ho_Chi_Minh_City.html,
Amigo Café,-1,5,"104 Đ. Nguyễn Công Trứ Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh 712222 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/29/4d/5f/95/latte-with-gold-24k.jpg,"Thật tuyệt vời cho ly cà phê, nhân viên nhiệt tình, thân thiện, thức uống phù hợp, nhưng cần có thêm nhiều món nữa",#1 trên 679 quán cà phê & trà ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d20199402-Reviews-Amigo_Cafe-Ho_Chi_Minh_City.html,
Banh Mi,-1,5,"10 Lê Thị Riêng Ben Thanh Ward , District 1, Thành phố Hồ Chí Minh 700000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/28/35/57/ce/banh-mi-ngon.jpg,Bánh mì tuyệt vời với không gian nhỏ sạch đẹp và yên tĩnh ‘ tôi đã từng ăn rất nhiều loại bánh mì và nơi đây là ngon nhất tôi từng có Rất khuyến khích,#1 trên 63 tiệm bánh ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d12731224-Reviews-Charm_Bakery-Ho_Chi_Minh_City.html,
Belgo Belgian Craft Beer Brewery - Ton That Thiep,-1,5,"29 - 31 Ton That Thiep Street, Thành phố Hồ Chí Minh Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/29/3d/96/95/bar-corner.jpg,"Một nhà hàng đẹp nằm giữa trung tâm quận 1, không gian rộng rãi và khá đẹp, sang trọng. Giá cả đồ ăn hợp lý khi khẩu phần mỗi món khá nhiều, vị cũng rất ngon, hấp dẫn. Nhân viên take care khách hàng khá...Thêm",#465 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d25794916-Reviews-Belgo_Belgian_Craft_Beer_Brewery_Ton_That_Thiep-Ho_Chi_Minh_City.html,
Secret Garden 131 Calmette,-1,4.5,"131 Calmette Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/18/2c/e8/61/getlstd-property-photo.jpg,"Đồ ăn ngon, nhiều món để lựa, cả 3 miền đều có những món ngon ở đây. Không gian rộng và đẹp. Nhân viên ra món nhanh. Giá cả cũng rất hợp lý. Chắc chắn sẽ quay lại.",#31 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d17704147-Reviews-Secret_Garden_131_Calmette-Ho_Chi_Minh_City.html,
Dalcheeni HCMC,-1,5,"2A Ngô Văn Năm Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 710000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/1c/ad/ec/91/dalcheeni-hcm-2a-ngo.jpg,"Quán ăn ngon, không gian đẹp, quản lý nhiệt tình, vị trí dễ tìm. Nhà hàng ấm cúng, thích hợp đi ăn cùng bạn bè, gia đình",#33 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d21272060-Reviews-Dalcheeni_HCMC-Ho_Chi_Minh_City.html,
"Shamballa Vegetarian, Restaurant & Tea House",-1,5,"17-19 Trịnh Văn Cấn Phường Cầu Ông Lãnh, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/21/cd/f3/34/delicious-dishes.jpg,Ngày đầu năm mình và gia đình ghé qua Shamballa sau 1 ngày đi viếng thăm họ hàng. Shamballa là địa điểm quen thuộc của mình và gia đình mỗi Tết đến Xuân về. Tết nhà hàng trang trí rất đẹp và có thêm nhiều...Thêm,#30 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d17122565-Reviews-Shamballa_Vegetarian_Restaurant_Tea_House-Ho_Chi_Minh_City.html,
