Title,Price,Rating,Address,Img_URL,Description,Rank_of_province
Binh Minh Hostel,-1,"5,0","Civil group 2, Market center, Dong Van town, Ha Giang, Đồng Văn Việt Nam","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/27/48/d5/binh-minh-hostel.jpg?w=400&h=-1&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/27/48/d5/binh-minh-hostel.jpg?w=800&h=-1&s=1 2x","Mình đặt phòng 4 người, tưởng đâu là 2 gường đôi, ngờ đâu 1 phòng 4 giường bự cho team 4 luôn, giá cả rất rẻ luôn nhen, anh chị chủ siêu dễ thương và thân thiện nhe. Phòng ốc tiện nghi, rất yên tâm khi lưu trú nhé ❤️",Xếp thứ 1 trong 12 nhà trọ tại Đồng Văn
Homestay Junglemans,-1,"5,0","207 Lý Tự Trọng Trần Phú, Hà Giang 310000 Việt Nam","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/f5/09/6f/around-ha-giang-province.jpg?w=400&h=-1&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/f5/09/6f/around-ha-giang-province.jpg?w=800&h=-1&s=1 2x","Hãy tự hỏi tại sao khách du lịch đã lựa chọn Jungleman Hostel khi đến thăm Hà Giang. Khách sạn là sự tổng hợp của những giá trị lý tưởng, sự thoải mái và thuận tiện như khung cảnh dành cho gia đình cùng với những tiện nghi được thiết kế cho những du khách như bạn.
Jungleman Hostel cung cấp cho khách nhiều tiện nghi bao gồm bếp nhỏ, tủ lạnh và sofa, và kết nối mạng là có thể vì wifi miễn phí có sẵn.
Nhà khách cung cấp dịch vụ phòng, làm cho kỳ nghỉ của bạn dễ chịu hơn nữa. Khách sạn còn cung cấp phòng khách. Khách đi đến khách sạn bằng phương tiện của mình có thể dùng đỗ xe miễn phí.",Số 1 trong 10 nhà khách tại Hà Giang
BBQ Hostel,-1,"4,5","D307 MonBay, Ha Long 200000 Việt Nam","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/4f/8a/86/phong-vip-co-b-n-t-m.jpg?w=400&h=-1&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/4f/8a/86/phong-vip-co-b-n-t-m.jpg?w=800&h=-1&s=1 2x",Chúng tôi thấy trên booking.com còn phòng và đến nơi lại báo là ko còn và báo hạng cao hơn. Tôi cảm giác là cố tình ko muốn bán. Ko hề tỏ ra nhận lỗi sai dù chúng tôi tìm khá lâu mới đến ks. Ko thể chấp nhận được cách làm việc như vậy,Xếp thứ 1 trong 2 nhà trọ tại Ha Long
Laurel Hotel Hue,482.381 ₫,"4,5","7 Doi Cung, Huế Việt Nam","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/70/0a/13/bed-room-5.jpg?w=400&h=-1&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/70/0a/13/bed-room-5.jpg?w=800&h=-1&s=1 2x","- Tọa lạc tại số 7 Đội Cung, gần khách sạn Mường Thanh Huế, trong khu phố Tây sầm uất và cách sông Hương chưa đến 500m. Khách sạn Laurel có 1 địa thế tuyệt vời cho những người thích cuộc sống náo nhiệt, thuận tiện cho các hoạt động tham quan, vui chơi và giải trí. - Khách sạn không có bãi đậu xe do đó họ trưng dụng con hẻm kế bên làm nơi đậu xe máy tạm thời vào ban ngày (và thật may mắn khi chúng tôi có chỗ đậu chiếc xe máy của chúng tôi). - Nhân viên rất thân thiện, nhiệt tình và hiếu khách. Họ hướng dẫn tận tình, chu đáo và đầy nhiệt huyết. Tôi đánh giá cao thái độ của các bạn nhân viên làm ngành dịch vụ như thế. - Phòng hơi nhỏ, cũ và bắt đầu xuống cấp. Tuy nhiên vấn đề vệ sinh khá sạch sẽ, các đồ dùng khá gọn gàng và ngăn nắp. -",Xếp thứ 10 trong 34 nhà nghỉ tại Huế
La Paloma Resort Phu Quoc,350.000 ₫,"4,5","Ganh Gio, Đảo Phú Quốc Việt Nam","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/a5/df/d4/la-paloma-resort.jpg?w=400&h=-1&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/a5/df/d4/la-paloma-resort.jpg?w=800&h=-1&s=1 2x","Ai cũng xứng đáng tận hưởng những giây phút nghỉ ngơi. La Paloma Bungalow & Spa sẽ là một lựa chọn tuyệt vời cho những du khách đến Đảo Phú Quốc tìm kiếm sự nghỉ ngơi và thư giãn. Nổi tiếng với không khí dành cho gia đình, và vị trí gần nhà hàng, La Paloma Bungalow & Spa sẽ giúp bạn tận hưởng những gì tuyệt nhất ở Đảo Phú Quốc.
Các phòng khách sạn cung cấp các tiện nghi như quầy bar mini, bàn làm việc và khu ghế ngồi, và khách có thể kết nối internet với wifi miễn phí được cung cấp bởi khách sạn nhỏ.",Số 19 trong 118 khách sạn nhỏ tại Đảo Phú Quốc
Lotus Apartment Hotel,489.881 ₫,"4,5","6/11 Nguyen Du, Phuong 1, Thanh Pho, Vũng Tàu Việt Nam","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/ba/e7/48/lotus-apartment-hotel.jpg?w=400&h=-1&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/ba/e7/48/lotus-apartment-hotel.jpg?w=800&h=-1&s=1 2x","Hãy tự hỏi tại sao khách du lịch đã lựa chọn Lotus Apartment Hotel khi đến thăm Vũng Tàu. Khách sạn là sự tổng hợp của những giá trị lý tưởng, sự thoải mái và thuận tiện như khung cảnh dành cho gia đình cùng với những tiện nghi được thiết kế cho những du khách như bạn.
Là “ngôi nhà xa xứ,” các phòng khách sạn nhỏ cung cấp điều hòa nhiệt độ, bếp nhỏ và tủ lạnh, và kết nối mạng thật dễ dàng, với wifi miễn phí sẵn có.
Khách có thể dùng bàn lễ tân 24 giờ, dịch vụ phòng và nhân viên hỗ trợ khách khi nghỉ tại Lotus Apartment Hotel. Thuận tiện hơn nữa, còn có đỗ xe miễn phí có sẵn cho khách.",Số 2 trong 112 khách sạn nhỏ tại Vũng Tàu
Amour Resort Ba Vì,3.158.634 ₫,"5,0","Ba Vì Cote 400, Hà Nội 100000 Việt Nam","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/5e/87/a5/amour-resort-ba-vi.jpg?w=400&h=-1&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/5e/87/a5/amour-resort-ba-vi.jpg?w=800&h=-1&s=1 2x","Khu nghỉ dưỡng cho gia đình vào cuối tuần Không gian thoáng mát , không khí trong lành , ngắm cảnh núi rừng thưởng thức tách trà nóng . Thưởng thức các món ăn ngon đặc sản của Ba Vì tại nhà hàng , sự gần gửi và nhiệt tình của nhân viên mình cảm thấy thân thiện . Sẽ quay trở lại vào một ngày gần nhất",Số 80 trong 381 khách sạn nhỏ tại Hà Nội
Cửu Long Hotel,585.633 ₫,"4,0","81 - 83 Đường 30/4, Phường 1, Thành Phố, Mỹ Tho 860000 Việt Nam","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/7a/29/01/lobby.jpg?w=400&h=-1&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/7a/29/01/lobby.jpg?w=800&h=-1&s=1 2x","Nhân viên nhiệt tình và chu đáo Phòng không lớn nhưng ấm cúng Dịp mình đi dịp kỉ niem ngày cưới thấy giường có trang trí đơn giản my dễ thương lắm, phần này th không biết chồng mình có yêu cầu thêm không Có cà phê sân thượng tầng 8 hay 9 gì đó ngắm cảnh đẹp lắm!! Nhất định phải đến đây !! Vị trí gần bến đò tham quan du lịch đi bộ cũng được khoảng 10p, tối còn có chợ đêm ăn uống nhưng hơi buồn Nếu có dịp mình sẽ quay lại",Số 1 trong 3 khách sạn đặc biệt tại Mỹ Tho
King Kong Hostel,-1,"5,0","Tam Coc Ninh Hai, Ninh Bình Việt Nam","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/c3/0d/b7/king-kong-hostel.jpg?w=400&h=-1&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/c3/0d/b7/king-kong-hostel.jpg?w=800&h=-1&s=1 2x","Chúng tôi đã có 3 đêm tuyệt vời tại nhà nghỉ king kong. Chủ rất thân thiện. Mỗi buổi sáng, bữa sáng và cà phê được làm tươi và rất ngon. Chúng tôi sử dụng xe đạp miễn phí hàng ngày để khám phá khu vực, một giá trị thực sự tuyệt vời. Tôi sẽ không ngần ngại ở lại đây một lần nữa. Cảm ơn anh Chi!",Xếp thứ 6 trong 27 nhà trọ tại Ninh Bình
Ha Thu Hotel,296.296 ₫,"4,0","64/2 Tran Phu Str Loc Tho Dist, Nha Trang City, Nha Trang Việt Nam","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/6c/3a/cf/ha-thu-hotel.jpg?w=400&h=-1&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/6c/3a/cf/ha-thu-hotel.jpg?w=800&h=-1&s=1 2x","Tìm kiếm khách sạn nhỏ bình dân lý tưởng ở Nha Trang không phải là quá khó. Chào đón bạn đến với Ha Thu Hotel, một lựa chọn đúng đắn cho những du khách như bạn.
Wifi miễn phí được cung cấp cho khách, và các phòng của Ha Thu Hotel đều có tủ lạnh, điều hòa nhiệt độ và khu ghế ngồi.
Trong thời gian ở đây, hãy tận hưởng những tiện nghi được cung cấp bao gồm bàn lễ tân 24 giờ, nhân viên hỗ trợ khách và nhận phòng / trả phòng nhanh. Du khách tại Ha Thu Hotel cũng được chào đón thử nghiệm bồn tắm nước nóng, ngay trong khách sạn. Đối với du khách có xe cộ, đỗ xe miễn phí có sẵn.",Số 15 trong 235 khách sạn nhỏ tại Nha Trang
"Thanh Binh 2 Hotel
Đây có phải là doanh nghiệp của quý vị không?",264.550 ₫,"4,0","10B Pham Van Dong, Nha Trang Việt Nam","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/3c/76/46/img-20181102-092735-largejpg.jpg?w=400&h=-1&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/3c/76/46/img-20181102-092735-largejpg.jpg?w=800&h=-1&s=1 2x","Gia đình tôi thường đặt ở tại khách sạn này bởi vì tiện là sát biển, phòng thoáng, view đẹp nội thất còn mới và giá cả thì ổn định. Có vài điều nho nhỏ khách sạn nên khác phục : 1) Bãi đỗ xe hơi bất tiện và wifi chậm 2) Nhân viên trực đêm ( Nam ) nên vui vẻ một tý Còn lại mọi thứ đều ok. Cảm ơn đã phục vụ gia đình chúng tôi",Xếp thứ 1 trong 54 nhà nghỉ tại Nha Trang
Green Grapefruit Villa,275.475 ₫,"5,0","03 Trần Quang Khải Cẩm Châu, Hội An 560000 Việt Nam","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/8c/b3/f9/green-grapefruit-villa.jpg?w=400&h=-1&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/8c/b3/f9/green-grapefruit-villa.jpg?w=800&h=-1&s=1 2x",Đừng ngại ngần nếu bạn đến Hội An. Nhà khách này là hoàn hảo với phòng sạch sẽ và thoải mái. Nó rất yên tĩnh và chủ nhà rất tốt bụng. Bạn có thể mua các tour du lịch để tham quan xung quanh và bạn có rất nhiều nhà hàng tốt gần đó,Xếp thứ 46 trong 87 nhà nghỉ tại Hội An
King Palace Hotel and Spa,265.833 ₫,"3,5","45 Hàng Bông Hoàn Kiếm, Hà Nội 100000 Việt Nam","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/02/e2/1f/deluxe-triple-room.jpg?w=400&h=-1&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/02/e2/1f/deluxe-triple-room.jpg?w=800&h=-1&s=1 2x","rất tốt, khách sạn trung tâm phòng đẹp giá tốt, rất phù hợp cho khách du lịch và cặp tôi nghỉ ngơi, thái độ phục vuh chu đáo, đồ dùng trong phòng khách sạn hiện tại, các chức năng còn rất tốt, sẽ quay lại",Số 17 trong 58 khách sạn đặc biệt tại Hà Nội
Rosabella Boutique Hotel,416.614 ₫,"4,5","39 Loseby Góc ngã tư Loseby và Hoàng Bích Sơn, Sơn Trà, Đà Nẵng 550000 Việt Nam","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/86/26/b0/lobby.jpg?w=400&h=-1&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/86/26/b0/lobby.jpg?w=800&h=-1&s=1 2x","Tìm kiếm khách sạn ở Đà Nẵng? Hãy xem Rosabella Boutique Hotel, khách sạn nhỏ nhỏ và sang trọng, lưu trú tại đây sẽ giúp bạn khám phá Đà Nẵng một cách dễ dàng.
Wifi miễn phí được cung cấp cho khách, và các phòng của Rosabella Boutique Hotel đều có điều hòa nhiệt độ, bếp nhỏ và quầy bar mini.
Trong thời gian ở đây, hãy tận hưởng những tiện nghi được cung cấp bao gồm nhân viên hỗ trợ khách và dịch vụ phòng. Du khách tại Rosabella Boutique Hotel cũng được chào đón thử nghiệm bữa sáng, ngay trong khách sạn.",Số 22 trong 293 khách sạn nhỏ tại Đà Nẵng
The Naked Table,-1,"4,5","Tran Hung Dao To 4, Cua lap, Duong To, Phu Quoc Island, Kien giang, Dương Đông, Đảo Phú Quốc Việt Nam","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/9d/d3/cd/the-naked-table.jpg?w=400&h=-1&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/9d/d3/cd/the-naked-table.jpg?w=800&h=-1&s=1 2x","The Naked Table là một lựa chọn tuyệt vời cho khách du lịch khi đến Dương Đông, cung cấp không khí quyến rũ cùng với nhiều tiện nghi hữu ích cho kì nghỉ của bạn.
Gần với Su Muon Pagoda (3,6 km), một địa danh được yêu thích ở Dương Đông, The Naked Table là lựa chọn lý tưởng của khách du lịch.
Internet miễn phí được cung cấp cho khách, và các phòng của The Naked Table đều có điều hòa nhiệt độ và quầy bar mini.",Số 2 trong 11 nhà trọ tại Đảo Phú Quốc
Summer Stations Homestay,-1,"5,0","Quốc Lộ 55 Xã Bông Trang, Huyện Xuyên Mộc, Vũng Tàu 78000 Việt Nam","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/13/10/2e/summer-stations-homestay.jpg?w=400&h=-1&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/13/10/2e/summer-stations-homestay.jpg?w=800&h=-1&s=1 2x","Dù bạn là người thích bình yên, tĩnh lặng hay là người thích mạo hiểm, khám phá thì Summer Station Homstay là điểm dừng chân có thể đáp ứng được tất cả. Một nơi vừa gần biển lại vừa gần rừng. Chiều chiều chạy xe xuyên qua cánh rừng bạt ngàn cây xanh để ra biển ngắm hoàng hôn và tắm biển. Cuối tuần có thể vào rừng khám phá rừng nguyên sinh với đủ chủng loại thực vật. Ăn uống thì chị chủ nấu bao ngon, bao no. Mình được thử rất nhiều các loại ốc sò khác nhau trong thời gian sống ở đây. Quên kể đến các chú chó rất dễ thương và thân thiện.",Số 1 trong 13 nhà khách tại Vũng Tàu
Pine Hill Treehouse Homestay Dalat,-1,"4,5","1 Triệu Việt Vương King Summer Palace, Đà Lạt 670000 Việt Nam","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/5e/4f/79/pine-hill-homestay-dalat.jpg?w=400&h=-1&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/5e/4f/79/pine-hill-homestay-dalat.jpg?w=800&h=-1&s=1 2x","- Chủ nhà rất tốt bụng, thân thiện: mình đến home lúc sớm 7h kém, sáng sớm chưa mở cửa nhưng chủ nhà cho mình nhận phòng từ sớm - Mình cũng mướn xe tại home dịch vụ rất tốt - Cảnh quang, view thì tuyệt vời, rất gần gũi với thiên nhiên, mình ở phòng trên cây nhỏ số 5, view rất tuyệt - Tuy nhiên mình có 1 số cảm nhận cá nhân mình như sau: mình đi dịp này Đà Lạt lạnh 11 độ, nhưng phòng có nhiều kẽ hở gió lùa vào rất lạnh không thể chịu nổi, đêm thì chó sủa liên tục nên không ngủ được Cơ sở hạ tầng theo cảm nhận của mình thì không họp lý so với giá 1 đêm là 850k, chất lượng k tốt, vì so với ks 2 sao gần chợ đà lạt khoảng 400k sạch sẽ hơn nhiều. Homestay nên tu bổ cho phòng mới và có cảm giác sạch sẽ hơn Mền gối mỏng: không đủ ấm cho nhiệt độ ở đà lạt Mình ở 3 ngày 2 đêm nhưng k…",Xếp thứ 1 trong 102 nhà nghỉ tại Đà Lạt
Hanoi Evergreen Hotel,243.574 ₫,"3,5","No 21 Hang Dong Street, Hang Bo Ward, Hoan Kiem dist, Hà Nội 10000 Việt Nam","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/83/0e/e7/family-city-view.jpg?w=400&h=-1&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/83/0e/e7/family-city-view.jpg?w=800&h=-1&s=1 2x","Hãy tự hỏi tại sao khách du lịch đã lựa chọn Hanoi Evergreen Hotel khi đến thăm Hà Nội. Khách sạn là sự tổng hợp của những giá trị lý tưởng, sự thoải mái và thuận tiện như những tiện nghi được thiết kế cho những du khách như bạn.
Hanoi Evergreen Hotel là khách sạn nhỏ bình dân cung cấp điều hòa nhiệt độ trong phòng và thật dễ dàng kết nối khi ở đây vì wifi miễn phí được cung cấp cho khách.
Khách sạn nhỏ cung cấp bàn lễ tân 24 giờ, nhân viên hỗ trợ khách và báo chí hàng ngày.",Số 81 trong 381 khách sạn nhỏ tại Hà Nội
Nhà Nghỉ Thái Bình Garden,-1,"5,0","Group 6, Tay Do, Duyen Truong Việt Nam","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/a1/c9/f5/thai-binh-garden.jpg?w=400&h=-1&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/a1/c9/f5/thai-binh-garden.jpg?w=800&h=-1&s=1 2x",-1,Xếp thứ 1 trong 1 nhà trọ tại Duyen Truong
