Title,Price,Rating,Address,Img_URL,Description,Rank_of_province,Link_Food
Quán Ăn Chúa Đảo,-1,"3,0 ","01 Khu Hoà Bình, Phường 1, Đà Lạt 670000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/1a/93/6b/b6/20200104-091857-largejpg.jpg,"quán đẹp, sạch sẽ, món ăn ngon đa dạng, nhân viên nhiệt tình chu đáo, giá cả phải chăng, sẽ ghé khi có dịp đi Đà Lạt vào những chuyến sau",#299 trên 334 nhà hàng ở Đà Lạt,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d19616699-Reviews-Quan_An_Chua_Dao-Da_Lat_Lam_Dong_Province.html
Lotteria,-1,"3,0 ","1 Nguyen Thi Minh Khai, Đà Lạt Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/11/9c/a1/81/img20171228182331-largejpg.jpg,Đặt hàng hai bánh mì kẹp thịt và khoai tây chiên lạnh và cần phải trả lại cho họ để được hâm nóng. Bánh mì kẹp thịt là khá nhỏ và sũng nước mặc dù hình ảnh trên menu cho ấn tượng rằng bánh mì...Thêm,#300 trên 334 nhà hàng ở Đà Lạt,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d12631434-Reviews-Lotteria-Da_Lat_Lam_Dong_Province.html
Pho Nui Restaurant,-1,"3,0 ","46 Nguyen Chi Thanh, Phuong 1, Da Lat, Viet Nam, Đà Lạt Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/0b/9d/b9/53/caption.jpg,Nhà hàng là một phần của Pho Nui Hotel. Một cái nhìn tốt đẹp trên một phần của hồ từ các bảng gần cửa sổ trên tầng 2. Đi cùng với một nhóm nhỏ bạn bè Việt Nam để đãi họ ăn tối. Đêm chúng...Thêm,#301 trên 334 nhà hàng ở Đà Lạt,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d6750955-Reviews-Pho_Nui_Restaurant-Da_Lat_Lam_Dong_Province.html
Nhà Hàng Sương Mù,-1,"3,0 ","41/2 Trần Phú, Đà Lạt 670000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/14/30/24/8e/barbeque.jpg,Kiểu Việt,#302 trên 334 nhà hàng ở Đà Lạt,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d15019949-Reviews-Nha_Hang_Suong_Mu-Da_Lat_Lam_Dong_Province.html
Lẩu Bò Hạnh,-1,"3,0 ","167 Bùi Thị Xuân, Đà Lạt Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/10/d2/08/e2/day-thung-trong-nu-c.jpg,"Quán chế biến mất vệ sinh, khách nói chủ quán thì chủ quán chả nói gì, xem như khách không tồn tại, quán phục vụ kém, nhân viên khó tính.",#303 trên 334 nhà hàng ở Đà Lạt,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d12720622-Reviews-Hanh_Beef_Hotpot-Da_Lat_Lam_Dong_Province.html
Ami Cafe,-1,"3,0 ","6 Hùng Vương, Đà Lạt Việt Nam",-1,Kiểu Việt,#304 trên 334 nhà hàng ở Đà Lạt,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d8043092-Reviews-Ami_Cafe-Da_Lat_Lam_Dong_Province.html
Tu Hanh,-1,"3,0 ","9B Hoang Van Thiu, Đà Lạt Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/0e/13/64/dd/riz-ananas-champignon.jpg,Đi với vợ tôi - bàn bẩn - cơm được phục vụ hết mình - rất có thể hôm qua Lừa còn lại - rất nhiều ruồi - trả thêm một chút và đi nơi khác - cuộc sống quá ngắn ngủi,#305 trên 334 nhà hàng ở Đà Lạt,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d1918674-Reviews-Tu_Hanh-Da_Lat_Lam_Dong_Province.html
Elvis on the Hill,-1,"3,0 ","A2, Zone 149, Ankroet Street, Đà Lạt 61000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/08/2e/ef/92/elvis-on-the-hill.jpg,"Thực sự thất vọng bởi nhà hàng và thức ăn này! Cô hầu bàn không thân thiện và không nói tiếng Anh nhiều. Vì vậy, rất khó để đặt hàng một loại thực phẩm không có thương mại và chỉ có tên Việt Nam. Bàn...Thêm",#306 trên 334 nhà hàng ở Đà Lạt,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d8336192-Reviews-Elvis_on_the_Hill-Da_Lat_Lam_Dong_Province.html
Cafe Phố Hoa,-1,"3,0 ","11 Nguyễn Chí Thanh Phường 1, Đà Lạt 670000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-p/13/82/99/6a/steak.jpg,Các dịch vụ là ghê tởm. Bà chủ nhà chỉ thô lỗ. Giá cao bất hợp lý. Thức ăn không ngon.,#307 trên 334 nhà hàng ở Đà Lạt,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d14221662-Reviews-Cafe_Pho_Hoa-Da_Lat_Lam_Dong_Province.html
Nhà Hàng Món Thái Khap Bun Kha,-1,"3,0 ","26 Nguyễn Văn Cừ Phường 1, Đà Lạt 670000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/10/52/9f/3b/beautiful-place.jpg,"Món ăn hương vị vẫn tốt, hợp khẩu vị. Giá cả ở tầm trung không quá cao. Nhân viên có cải thiện về thái độ phục vụ nhưng còn chậm, mặt mũi hơi đơ như đang cố gắng để cười với khách mà không có...Thêm",#308 trên 334 nhà hàng ở Đà Lạt,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d12049486-Reviews-Khap_Bun_Kha_Restaurant-Da_Lat_Lam_Dong_Province.html
Da Lat House Restaurant,-1,"2,5 ","34 Nguyễn Du, Đà Lạt Việt Nam",-1,"Tôi đã dành 15 ngày ở Việt Nam, đây sẽ là nhà hàng tồi tệ hơn trong toàn bộ chuyến đi. Không chỉ có chó trong nhà hàng, tôi tìm thấy một trong những con chó xương dưới bàn. Có những cái lỗ trên tấm...Thêm",#309 trên 334 nhà hàng ở Đà Lạt,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d12703546-Reviews-Da_Lat_House_Restaurant-Da_Lat_Lam_Dong_Province.html
Sense1987,-1,"2,0 ","05 Lê Hồng Phong Phường 4, Đà Lạt 670000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/11/ac/f4/96/getlstd-property-photo.jpg,"đến đó để uống cà phê và ăn vặt. Đồ ăn nhẹ không có sẵn, thức ăn trên thực đơn chỉ bằng tiếng Việt, nhưng không có sẵn. Đặt hai ly cà phê và một ly sinh tố. Chờ gần nửa giờ. Sinh tố (chuối...Thêm",#310 trên 334 nhà hàng ở Đà Lạt,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d13358656-Reviews-Sense1987-Da_Lat_Lam_Dong_Province.html
Deebase,-1,"2,0 ","1 Nguyễn Thị Minh Khai, Đà Lạt Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/0f/26/a6/f8/khong-gian-khach-hang.jpg,Thanh này là không tốt và nhiều người đàn ông hút thuốc bên trong nó! ! ! Các nhân viên có thể được ok mà phụ thuộc vào yêu cầu của bạn! ! !,#311 trên 334 nhà hàng ở Đà Lạt,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d12340285-Reviews-Deebase-Da_Lat_Lam_Dong_Province.html
Miến Gà Tường Vy,-1,"3,0 ","57 Bùi Thị Xuân, Đà Lạt Việt Nam",-1,"Mỗi lần du lịch ĐÀ LẠT mình đều ghé quán Tường Vy để ăn gà từ thời quán còn ở sát KS NGỌC LAN cho đến khi quán dời về gần thác CAM LY, và hiện nay là một chi nhánh cũng trên đường Nguyễn...Thêm",#312 trên 334 nhà hàng ở Đà Lạt,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d10034961-Reviews-Mien_Ga_Tuong_Vy-Da_Lat_Lam_Dong_Province.html
Nhà Hàng Chay Hoa Sen,-1,"3,0 ","62 Phan Đình Phùng Phường 1, Đà Lạt Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/19/67/7b/98/photo0jpg.jpg,Tôi thực sự thích nơi này mặc dù chúng tôi đã đi muộn một chút vào buổi chiều và nó đóng cửa lúc 2 giờ. Nhưng dù sao chúng tôi cũng được phục vụ rất nhanh chóng và chúng tôi đã ra lệnh cho những...Thêm,#313 trên 334 nhà hàng ở Đà Lạt,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d13576811-Reviews-Hoa_Sen_Vegetarian_Restaurant-Da_Lat_Lam_Dong_Province.html
Nhà hàng Hầm Rượu Vang Đà Lạt,-1,"2,5 ","77C Hùng Vương Phường 11, Đà Lạt 670000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/17/a5/35/0e/khong-gian-r-ng-rai-m.jpg,"Không thể tin được nhà hàng đẳng cấp và hoành tráng lại có giá bình dân bất ngờ. Điểm cộng bãi đậu xe riêng. Nhân viên phục vụ nhiệt tình, món ngon hay hay lạ lan",#314 trên 334 nhà hàng ở Đà Lạt,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d15097246-Reviews-Nha_hang_Ham_Ruou_Vang_Da_Lat-Da_Lat_Lam_Dong_Province.html
Ngon BBQ-Buffet Garden,-1,"1,0 ","17 Nguyen Chi Thanh Ward 1, Đà Lạt Việt Nam",-1,"Bữa sáng, Bữa trưa, Bữa tối",#315 trên 334 nhà hàng ở Đà Lạt,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d11618651-Reviews-Ngon_BBQ_Buffet_Garden-Da_Lat_Lam_Dong_Province.html
Monet House Restaurant,-1,"2,0 ","3 Nguyen Du st, Đà Lạt Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/11/3d/49/d7/20171103-193302-largejpg.jpg,"Kiểu Tây nam, Kiểu Việt",#316 trên 334 nhà hàng ở Đà Lạt,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d13118904-Reviews-Monet_House_Restaurant-Da_Lat_Lam_Dong_Province.html
Lẩu Ghẹ Kim Chi,-1,"2,5 ","151 Bùi Thị Xuân P.2, Đà Lạt 650000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/11/99/e1/9b/khu-vu-c-an-uo-ng.jpg,cũng nghe review nhiều nên tối nay mình ghé ăn thử nhưng khá thất vọng. vào thì nv nói ko có lẩu ghẹ (con to) nên mình gọi 1 lẩu Uyên Ương gồm 1/2 lẩu ghẹ và 1/2 hải sản vs giá 450k . Khi...Thêm,#317 trên 334 nhà hàng ở Đà Lạt,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d13294293-Reviews-Lau_Ghe_Kim_Chi-Da_Lat_Lam_Dong_Province.html
Dalat Coffee,-1,"1,0 ","2/10 Nguyễn Văn Cừ Phường 1, Đà Lạt 670000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/1a/86/ad/93/ga-rut-xuong-sauce-n.jpg,"Giao hàng, Đặt chỗ, Chỗ ngồi, Bãi đỗ xe đường phố, Rượu và bia, Chỉ chấp nhận tiền mặt, Wifi miễn phí, Dịch vụ bàn, Phong cách gia đình",#318 trên 334 nhà hàng ở Đà Lạt,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d19782348-Reviews-Dalat_Coffee-Da_Lat_Lam_Dong_Province.html
Koreana,-1,"1,0 ","20A Hai Bà Trưng Phường 6, Đà Lạt 670000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/17/7c/82/a4/menu.jpg,"Bị lừa đảo! Chúng tôi đã trả 540. 000 cho 1 con gà rán nhỏ, 1 cơm gà teriyaki, 1 cơm trộn với điếc bibimbam và 1 súp. Chúng tôi đã trả giá gấp đôi, lỗi của chúng tôi đã không chú ý đến hóa...Thêm",#319 trên 334 nhà hàng ở Đà Lạt,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d16470804-Reviews-Koreana-Da_Lat_Lam_Dong_Province.html
Bún Đậu Bún Chả,-1,"1,0 ","71 Phan Đình Phùng, Đà Lạt 670000 Việt Nam",-1,"Các thực phẩm đắt tiền cho một chất lượng xấu. Ngay bây giờ chúng tôi đang ở trên giường của chúng tôi, với các turista vì nhà hàng này (lần đầu tiên sau 6 tháng đi du lịch)",#320 trên 334 nhà hàng ở Đà Lạt,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d16714852-Reviews-Bun_Dau_Bun_Cha-Da_Lat_Lam_Dong_Province.html
Saigon's Book Hotel & Restaurant,-1,"1,0 ","35 Trạng Trình Phường 9, Đà Lạt 670000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/17/2e/72/e3/getlstd-property-photo.jpg,476.190 ₫ - 3.571.429 ₫,#321 trên 334 nhà hàng ở Đà Lạt,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d17347757-Reviews-Saigon_s_Book_Hotel_Restaurant-Da_Lat_Lam_Dong_Province.html
Restaurant Family - Coffee Hồng Phúc,-1,-1,"9 Khoi Nghia Bac Son - Phuong 10 - Da Lat - Lam Dong, Đà Lạt 60999 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/05/f3/4d/c0/restaurant-family-coffee.jpg,"Cà phê, Kiểu Việt, Quầy rượu vang",#322 trên 334 nhà hàng ở Đà Lạt,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d6672947-Reviews-Restaurant_Family_Coffee_H_ng_Phuc-Da_Lat_Lam_Dong_Province.html
Thanh Thuy Blue Water Restaurant,-1,"2,5 ","2 Nguyễn Thái Học, Đà Lạt 670000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/02/a4/2f/d9/the-view.jpg,"Thái độ nhân viên quá tệ khinh thường khách hàng, giống như muốn đuổi khách vậy, giá bán nước thì trên trời trong khi đó đồ uống k có gì đặc sắc, ghé 1 lần và k bao giờ muốn quay trở lại lần 2",#323 trên 334 nhà hàng ở Đà Lạt,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d2658688-Reviews-Thanh_Thuy_Blue_Water_Restaurant-Da_Lat_Lam_Dong_Province.html
Quán Ăn Cây Rừng,-1,"2,0 ","Hồ Tuyền Lâm, Đà Lạt 670000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/17/e7/a3/46/photo0jpg.jpg,"Chúng tôi 2 người gọi món gà rừng và thịt heo rừng xào, Gà rừng với giá 700k/con nhưng mang ra là gà tre, chủ quán bảo gà mới được nướng, đợi 5 phút đã thấy có ngay gà, gà khô, dai, nguội tanh rất...Thêm",#324 trên 334 nhà hàng ở Đà Lạt,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d15603396-Reviews-Quan_An_Cay_Rung-Da_Lat_Lam_Dong_Province.html
Veronica 2,-1,"2,0 ","17 Nguyen Chi Thanh, Đà Lạt Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/15/44/9e/64/crispy-chicken-with-rice.jpg,Phải nói là rất chán và giá thì quá cao. Chỉ được cái view đẹp nhưng cũng bị hạn chế tầm nhìn bởi mấy cái quảng cáo phía bên ngoài che hết.,#325 trên 334 nhà hàng ở Đà Lạt,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d7818521-Reviews-Veronica_2-Da_Lat_Lam_Dong_Province.html
Sky Bar,-1,"2,0 ","1/1 Bui Thi Xuan Upstairs, Đà Lạt Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/09/d9/6f/ef/ta-img-20151225-175919.jpg,"Địa điểm quá đắt (mà tôi vẫn có thể hiểu được vì vị trí và tầm nhìn) nhưng cô gái duy nhất đang làm việc ở đó rất thô lỗ đến khó tin, đầu tiên siêu đẩy chúng tôi đặt một chai rượu và sau...Thêm",#326 trên 334 nhà hàng ở Đà Lạt,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d4036337-Reviews-Sky_Bar-Da_Lat_Lam_Dong_Province.html
Mì Xứ Quảng & Ăn Vặt Chili,-1,-1,"D3 Khu quy hoạch Bà Triệu Bên hông Tòa nhà Trung tâm Hành chính tỉnh Lâm Đồng, Đà Lạt Việt Nam",-1,"Bữa nửa buổi, Đồ uống, Bữa sáng, Bữa trưa",#327 trên 334 nhà hàng ở Đà Lạt,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d8274419-Reviews-Mi_xu_Quang_Chili-Da_Lat_Lam_Dong_Province.html
Ken Quán,-1,-1,"47 Nam Kì Khởi Nghĩa Phường 1, Đà Lạt 670000 Việt Nam",-1,"Bữa trưa, Bữa tối",#328 trên 334 nhà hàng ở Đà Lạt,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d14155608-Reviews-Ken_Quan-Da_Lat_Lam_Dong_Province.html
Maple Coffee,-1,-1,"152 Bui Thi Xuan Ward 2, Đà Lạt Việt Nam",https://media-cdn.tripadvisor.com/media/photo-p/16/bb/f9/27/maple-coffee.jpg,Kiểu Việt,#329 trên 334 nhà hàng ở Đà Lạt,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d13215112-Reviews-Maple_Coffee-Da_Lat_Lam_Dong_Province.html
F Garden Dalat,-1,"2,5 ","Số 5 Nguyễn Thái Học, Phường 1, Đà Lạt Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/0b/31/7d/b3/cozy.jpg,Quán có view đẹp và phục vụ nói chuyện rất hài hước. Chủ quán cũng rất đáng yêu . Màu đèn và nhạc làm tôi rất thích tôi sẽ quay lại vào một đêm gần nhất.,#330 trên 334 nhà hàng ở Đà Lạt,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d9729912-Reviews-F_Garden_Dalat-Da_Lat_Lam_Dong_Province.html
Phòng Trà Song Vy,-1,-1,"22 Nguyễn Du Phường 9, Đà Lạt 670000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/13/fe/00/02/getlstd-property-photo.jpg,142.857 ₫ - 476.190 ₫,#331 trên 334 nhà hàng ở Đà Lạt,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d14982563-Reviews-Phong_Tra_Song_Vy-Da_Lat_Lam_Dong_Province.html
Quan Nhi,-1,"2,0 ","Nguyen Chi Thanh,, Đà Lạt Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/04/b3/ba/0e/this-is-the-way.jpg,"Chúng tôi đã gọi hai phần súp đơn, súp hải sản và súp ngô chowder. Họ đã ổn. Chúng tôi cũng gọi món súp cá trê đặc biệt (dac biet) là một món ăn nổi tiếng của Việt Nam. Chúng tôi đã vô cùng thất...Thêm",#332 trên 334 nhà hàng ở Đà Lạt,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d5062250-Reviews-Quan_Nhi-Da_Lat_Lam_Dong_Province.html
Bukchon Korean Restaurant Đà Lạt,-1,-1,"121-123 Bùi Thị Xuân , Phường 2, Đà Lạt 670000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/23/7c/aa/3c/really-good-food-best.jpg,100.000 ₫ - 990.000 ₫,#333 trên 334 nhà hàng ở Đà Lạt,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d21179905-Reviews-Bukchon_Korean_Restaurant_Da_Lat-Da_Lat_Lam_Dong_Province.html
Bò Lạc Lối Restaurant,-1,-1,"206 Xô Viết Nghệ Tĩnh Phường 7, Đà Lạt 670000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/18/67/08/07/pheo-non-nu-ng-mon-pheo.jpg,"Bữa trưa, Bữa tối, Đêm muộn, Đồ uống",#334 trên 334 nhà hàng ở Đà Lạt,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d17754693-Reviews-Bo_Lac_Loi_Restaurant-Da_Lat_Lam_Dong_Province.html
Ẩm Âm - Dalat dining in the sound,-1,-1,"Đống Đa Số 1 Đống Đa, phường 3, Đà Lạt 66000 Việt Nam",-1,60.000 ₫ - 300.000 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d23379166-Reviews-M_Am_Dalat_dining_in_the_sound-Da_Lat_Lam_Dong_Province.html
Tê Mồi,-1,-1,"5Bis, Đống Đa, Phường 3 Trong khu du kịch Cáp Treo, cạnh bến xe liên tỉnh, Đà Lạt 66116 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/21/72/e6/05/te-m-i-te-bia-t-a-m-i.jpg,Cửa hàng thức ăn ngon,,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d23729234-Reviews-Te_M_i-Da_Lat_Lam_Dong_Province.html
Tụt nướng: Tiệm nướng lang thang Đà Lạt,-1,-1,"Số 4 Trần Khánh Dư (nối dài), phường 8, Đà Lạt Việt Nam",-1,"Đồ nướng, Thịt nướng",,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d25410653-Reviews-T_t_nu_ng_Ti_m_nu_ng_lang_thang_Da_L_t-Da_Lat_Lam_Dong_Province.html
Russian Tales,-1,-1,"51 Lý Nam Đế Phường 8, Đà Lạt 670000 Việt Nam",-1,50.000 ₫ - 2.000.000 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d21257243-Reviews-Russian_Tales-Da_Lat_Lam_Dong_Province.html
5pm Corner Beer Garden,-1,-1,"93 trần khánh dư, phường 8, Đà Lạt 63000 Việt Nam",-1,"Đồ ăn nhanh, Đồ nướng, Nhà hàng bia, Bản địa",,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d25425287-Reviews-5PM_CORNER_BEER_GARDEN-Da_Lat_Lam_Dong_Province.html
LẨU NƯỚNG OVERNIGHT,-1,-1,"74 Trương Công Định, Phường 1 Sân thượng, Đà Lạt 670000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/28/ca/70/7f/nice-view-in-dalat-city.jpg,"Nhà hàng bán bia, Đồ nướng, Kiểu Á, Quán rượu, Kiểu Việt, Bản địa",,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d25422071-Reviews-L_U_NU_NG_OVERNIGHT-Da_Lat_Lam_Dong_Province.html
444 - Cocktail Lovers,-1,-1,"Đống Đa 1, Đà Lạt 66100 Việt Nam",-1,"Chỗ ngồi, Có bãi đỗ xe, Bãi đỗ xe đường phố, Quầy bar đầy đủ",,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d26554250-Reviews-444_Cocktail_Lovers-Da_Lat_Lam_Dong_Province.html
Hồ Thủy Quái,-1,-1,"Ngã 3 Tà Nung, Vạn Thành, Ta Nung 670000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/1b/1e/30/07/khung-c-nh.jpg,"Bữa sáng, Bữa trưa",,https://www.tripadvisor.com.vn/Restaurant_Review-g13370192-d17321520-Reviews-Ho_Thuy_Quai-Ta_Nung_Lam_Dong_Province.html
Cafe Cổ,-1,-1,"26A, 3 Tháng 4 Phường 3, Đà Lạt 670000 Việt Nam",-1,"Nhà hàng bán bia, Quán rượu",,https://www.tripadvisor.com.vn/Restaurant_Review-g293922-d19139068-Reviews-Cafe_Co-Da_Lat_Lam_Dong_Province.html
